timestamp,phrase,hey_jarvis
2026-06-18T13:14:25.338+00:00,hey_jarvis,0.9177
2026-06-18T13:14:25.414+00:00,hey_jarvis,0.9108
2026-06-18T13:14:25.497+00:00,hey_jarvis,0.9025
2026-06-18T13:14:25.576+00:00,hey_jarvis,0.8974
2026-06-18T13:14:25.656+00:00,hey_jarvis,0.8990
2026-06-18T13:14:25.736+00:00,hey_jarvis,0.9022
2026-06-18T13:14:25.816+00:00,hey_jarvis,0.8960
2026-06-18T13:14:25.897+00:00,hey_jarvis,0.8864
2026-06-18T13:14:25.974+00:00,hey_jarvis,0.8720
2026-06-18T13:14:26.056+00:00,hey_jarvis,0.8614
2026-06-18T13:14:26.137+00:00,hey_jarvis,0.8435
2026-06-18T13:14:26.216+00:00,hey_jarvis,0.8350
2026-06-18T13:14:26.296+00:00,hey_jarvis,0.8101
2026-06-18T13:14:26.374+00:00,hey_jarvis,0.7709
2026-06-18T13:14:26.456+00:00,,0.7317
2026-06-18T13:14:26.536+00:00,,0.7081
2026-06-18T13:14:26.617+00:00,,0.6807
2026-06-18T13:14:26.696+00:00,,0.6650
2026-06-18T13:14:26.777+00:00,,0.6546
2026-06-18T13:14:26.863+00:00,,0.6544
2026-06-18T13:14:26.937+00:00,,0.6702
2026-06-18T13:14:27.018+00:00,,0.7028
2026-06-18T13:14:27.096+00:00,,0.7148
2026-06-18T13:14:27.178+00:00,,0.7429
2026-06-18T13:14:27.258+00:00,hey_jarvis,0.7575
2026-06-18T13:14:27.338+00:00,hey_jarvis,0.7606
2026-06-18T13:14:27.418+00:00,hey_jarvis,0.7607
2026-06-18T13:14:27.498+00:00,hey_jarvis,0.7711
2026-06-18T13:14:27.578+00:00,hey_jarvis,0.7724
2026-06-18T13:14:27.659+00:00,hey_jarvis,0.7953
2026-06-18T13:14:27.738+00:00,hey_jarvis,0.8107
2026-06-18T13:14:27.818+00:00,hey_jarvis,0.8293
2026-06-18T13:14:27.900+00:00,hey_jarvis,0.8393
2026-06-18T13:14:27.977+00:00,hey_jarvis,0.8553
2026-06-18T13:14:28.058+00:00,hey_jarvis,0.8552
2026-06-18T13:14:28.138+00:00,hey_jarvis,0.8522
2026-06-18T13:14:28.220+00:00,hey_jarvis,0.8469
2026-06-18T13:14:28.297+00:00,hey_jarvis,0.8374
2026-06-18T13:14:28.377+00:00,hey_jarvis,0.8342
2026-06-18T13:14:28.457+00:00,hey_jarvis,0.8315
2026-06-18T13:14:28.541+00:00,hey_jarvis,0.8268
2026-06-18T13:14:28.618+00:00,hey_jarvis,0.8298
2026-06-18T13:14:28.695+00:00,hey_jarvis,0.8303
2026-06-18T13:14:28.777+00:00,hey_jarvis,0.8280
2026-06-18T13:14:28.857+00:00,hey_jarvis,0.8133
2026-06-18T13:14:28.937+00:00,hey_jarvis,0.8130
2026-06-18T13:14:29.016+00:00,hey_jarvis,0.8081
2026-06-18T13:14:29.096+00:00,hey_jarvis,0.8106
2026-06-18T13:14:29.176+00:00,hey_jarvis,0.8078
2026-06-18T13:14:29.258+00:00,hey_jarvis,0.8015
2026-06-18T13:14:29.337+00:00,hey_jarvis,0.7981
2026-06-18T13:14:29.417+00:00,hey_jarvis,0.7935
2026-06-18T13:14:29.494+00:00,hey_jarvis,0.7973
2026-06-18T13:14:29.576+00:00,hey_jarvis,0.7905
2026-06-18T13:14:29.656+00:00,hey_jarvis,0.7704
2026-06-18T13:14:29.737+00:00,,0.7442
2026-06-18T13:14:29.815+00:00,,0.7087
2026-06-18T13:14:29.897+00:00,,0.6668
2026-06-18T13:14:29.974+00:00,,0.6130
2026-06-18T13:14:30.057+00:00,,0.5653
2026-06-18T13:14:30.138+00:00,,0.5448
2026-06-18T13:14:30.219+00:00,,0.5498
2026-06-18T13:14:30.296+00:00,,0.5472
2026-06-18T13:14:30.379+00:00,,0.5332
2026-06-18T13:14:30.458+00:00,,0.5330
2026-06-18T13:14:30.538+00:00,,0.5562
2026-06-18T13:14:30.618+00:00,,0.5727
2026-06-18T13:14:30.696+00:00,,0.5863
2026-06-18T13:14:30.777+00:00,,0.6025
2026-06-18T13:14:30.859+00:00,,0.6101
2026-06-18T13:14:30.940+00:00,,0.6090
2026-06-18T13:14:31.017+00:00,,0.6049
2026-06-18T13:14:31.094+00:00,,0.5850
2026-06-18T13:14:31.174+00:00,,0.5517
2026-06-18T13:14:31.258+00:00,,0.5107
2026-06-18T13:14:31.335+00:00,,0.4629
2026-06-18T13:14:31.414+00:00,,0.4279
2026-06-18T13:14:31.500+00:00,,0.4261
2026-06-18T13:14:31.581+00:00,,0.4256
2026-06-18T13:14:31.658+00:00,,0.4298
2026-06-18T13:14:31.741+00:00,,0.4402
2026-06-18T13:14:31.820+00:00,,0.4611
2026-06-18T13:14:31.900+00:00,,0.5025
2026-06-18T13:14:31.974+00:00,,0.5445
2026-06-18T13:14:32.054+00:00,,0.5800
2026-06-18T13:14:32.134+00:00,,0.5905
2026-06-18T13:14:32.214+00:00,,0.5961
2026-06-18T13:14:32.299+00:00,,0.5856
2026-06-18T13:14:32.374+00:00,,0.5560
2026-06-18T13:14:32.455+00:00,,0.5239
2026-06-18T13:14:32.534+00:00,,0.5055
2026-06-18T13:14:32.615+00:00,,0.5332
2026-06-18T13:14:32.694+00:00,,0.5693
2026-06-18T13:14:32.782+00:00,,0.5836
2026-06-18T13:14:32.868+00:00,,0.5855
2026-06-18T13:14:32.936+00:00,,0.5875
2026-06-18T13:14:33.015+00:00,,0.5896
2026-06-18T13:14:33.094+00:00,,0.5727
2026-06-18T13:14:33.176+00:00,,0.5559
2026-06-18T13:14:33.255+00:00,,0.5460
2026-06-18T13:14:33.334+00:00,,0.5486
2026-06-18T13:14:33.414+00:00,,0.5565
2026-06-18T13:14:33.494+00:00,,0.5772
2026-06-18T13:14:33.574+00:00,,0.5983
2026-06-18T13:14:33.654+00:00,,0.5941
2026-06-18T13:14:33.735+00:00,,0.5875
2026-06-18T13:14:33.815+00:00,,0.5651
2026-06-18T13:14:33.894+00:00,,0.5869
2026-06-18T13:14:33.974+00:00,,0.6148
2026-06-18T13:14:34.056+00:00,,0.6281
2026-06-18T13:14:34.137+00:00,,0.6265
2026-06-18T13:14:34.221+00:00,,0.6083
2026-06-18T13:14:34.294+00:00,,0.5955
2026-06-18T13:14:34.375+00:00,,0.5805
2026-06-18T13:14:34.456+00:00,,0.6036
2026-06-18T13:14:34.538+00:00,,0.6394
2026-06-18T13:14:34.616+00:00,,0.6449
2026-06-18T13:14:34.694+00:00,,0.6268
2026-06-18T13:14:34.774+00:00,,0.6377
